00000:(107, 143), (13, 14), (31, 43), (118, 137)
00002:(26, 33), (12, 13), (30, 43), (106, 134)
00003:(35, 35), (15, 14), (36, 43), (143, 141)
00005:(95, 138), (11, 13), (29, 41), (141, 136)
00006:(32, 34), (13, 14), (33, 44), (143, 135)
00008:(79, 71), (13, 13), (72, 67), (79, 71)
00009:(115, 97), (12, 13), (132, 138), (108, 99)
00011:(41, 36), (15, 14), (31, 42), (35, 36)
00012:(195, 150), (13, 14), (110, 117), (238, 182)
00014:(72, 72), (95, 103), (93, 103), (27, 32)
00017:(32, 37), (13, 14), (105, 115), (30, 43)
00018:(32, 34), (13, 14), (32, 34), (131, 137)
00019:(42, 36), (15, 14), (31, 35), (33, 44)
00020:(53, 77), (13, 14), (31, 34), (128, 138)
00021:(57, 67), (13, 13), (39, 45), (150, 129)
00022:(75, 66), (10, 13), (52, 44), (151, 137)
00024:(28, 35), (13, 14), (39, 35), (33, 45)
00025:(30, 34), (12, 14), (42, 36), (29, 34)
00026:(53, 74), (13, 14), (32, 44), (32, 45)
00028:(191, 146), (14, 13), (29, 34), (116, 137)
00030:(40, 38), (16, 14), (31, 42), (183, 153)
00031:(58, 75), (14, 14), (133, 122), (34, 45)
00032:(86, 73), (14, 14), (53, 47), (117, 139)
00033:(103, 76), (12, 13), (31, 33), (138, 137)
00035:(64, 65), (14, 13), (49, 44), (32, 43)
00036:(60, 83), (12, 13), (35, 50), (183, 146)
00043:(29, 33), (11, 13), (107, 111), (56, 61)
00044:(178, 141), (15, 14), (27, 33), (158, 131)
00045:(51, 77), (13, 14), (31, 46), (31, 46)
00046:(53, 71), (12, 13), (38, 34), (153, 136)
00048:(80, 80), (10, 14), (89, 118), (177, 144)
00049:(105, 118), (11, 12), (48, 48), (120, 107)
00052:(38, 36), (15, 14), (41, 35), (30, 45)
00053:(32, 37), (12, 14), (100, 121), (192, 148)
00054:(47, 36), (15, 13), (158, 120), (31, 41)
00056:(113, 140), (16, 14), (32, 42), (163, 136)
00058:(76, 68), (15, 13), (45, 44), (116, 138)
00059:(88, 134), (13, 14), (48, 47), (115, 138)
00060:(62, 80), (14, 15), (41, 34), (164, 139)
00061:(59, 79), (13, 14), (121, 119), (176, 137)
00062:(178, 143), (14, 14), (37, 33), (114, 131)
00063:(74, 72), (15, 14), (46, 48), (31, 46)
00064:(31, 35), (14, 14), (125, 122), (129, 142)
00066:(146, 143), (10, 12), (93, 104), (106, 138)
00068:(143, 139), (12, 13), (35, 33), (43, 41)
00070:(49, 76), (29, 45), (32, 37), (125, 147)
00071:(85, 70), (14, 14), (48, 48), (165, 143)
00072:(78, 70), (14, 14), (42, 46), (150, 143)
00074:(115, 151), (14, 14), (118, 122), (35, 46)
00077:(42, 37), (17, 15), (33, 42), (42, 37)
00078:(100, 148), (11, 13), (30, 44), (27, 44)
00081:(34, 34), (18, 14), (38, 35), (128, 138)
00084:(135, 141), (11, 13), (32, 32), (159, 134)
00085:(63, 72), (12, 14), (41, 47), (157, 137)
00087:(92, 143), (13, 14), (43, 46), (117, 133)
00088:(42, 34), (10, 13), (42, 34), (171, 137)
00089:(195, 145), (11, 12), (41, 35), (162, 140)
00090:(56, 74), (13, 14), (116, 117), (155, 138)
00094:(30, 35), (11, 14), (41, 35), (171, 143)
00095:(107, 160), (12, 14), (106, 114), (32, 34)
00096:(34, 37), (14, 15), (30, 44), (156, 146)
00097:(72, 67), (15, 13), (46, 44), (99, 134)
00098:(45, 36), (18, 15), (158, 124), (44, 36)
00099:(49, 70), (11, 13), (36, 33), (144, 134)
00100:(8, 7), (9, 8), (8, 7), (8, 7)
00102:(11, 11), (11, 11), (9, 10), (9, 8)
00104:(9, 12), (11, 10), (11, 10), (11, 10)
00105:(11, 11), (13, 13), (13, 13), (8, 9)
00106:(12, 12), (12, 12), (12, 12), (12, 12)
00107:(13, 12), (12, 10), (11, 10), (22, 19)
00108:(10, 9), (10, 9), (51, 47), (16, 15)
00109:(0, 0), (46, 39), (12, 11), (8, 8)
00110:(9, 10), (34, 32), (34, 32), (9, 10)
00111:(10, 10), (10, 10), (59, 73), (10, 10)
00112:(10, 9), (10, 9), (10, 9), (10, 9)
00113:(8, 7), (9, 8), (9, 8), (11, 10)
00116:(12, 11), (12, 11), (13, 12), (12, 11)
00117:(17, 24), (55, 73), (56, 73), (18, 24)
00120:(24, 23), (26, 23), (26, 23), (52, 46)
00121:(27, 29), (18, 14), (36, 27), (18, 13)
00122:(10, 10), (10, 10), (10, 10), (10, 10)
00123:(10, 10), (0, 0), (11, 10), (0, 0)
00124:(8, 9), (8, 9), (8, 9), (8, 9)
00128:(11, 10), (12, 10), (12, 10), (11, 10)
00130:(23, 24), (67, 71), (70, 72), (23, 24)
00132:(27, 23), (27, 23), (27, 23), (53, 46)
00133:(29, 28), (13, 13), (30, 28), (14, 14)
00134:(8, 12), (8, 12), (8, 10), (8, 11)
00136:(29, 28), (12, 13), (13, 16), (13, 13)
00137:(20, 20), (25, 23), (17, 18), (42, 43)
